"California State University, Northridge","Cal State Northridge Matadors","http://www.gomatadors.com/"
"University of California, Berkeley","California Golden Bears - The University of California Official Athletic ...","http://www.calbears.com/"
"California State University, Fresno","Fresno State Official Athletic Site","http://www.gobulldogs.com/"
"California State University, Long Beach","Long Beach State Athletics","http://www.longbeachstate.com/"
"Loyola Marymount University","Loyola Marymount Official Athletic Site","http://www.lmulions.com/"
"University of the Pacific","Pacific Tigers Official Athletic Site - Pacific","http://www.pacifictigers.com/"
"Pepperdine University","Pepperdine University Official Athletic Site","http://www.pepperdinesports.com/"
"California State University, Sacramento","Home Page - Hornet Sports","http://www.hornetsports.com/"
"Saint Mary's College of California","Athletics | Saint Mary's College - Saint Mary's College of California","http://www.stmarys-ca.edu/athletics/"
"University of San Diego","University of San Diego - Official Athletic Site","http://usdtoreros.cstv.com/"
"San Diego State University","San Diego State University Official Athletic Site","http://goaztecs.cstv.com/"
"University of San Francisco","USF Dons","http://www.usfdons.com/"
"San Jose State University","San Jose State University Athletics","http://www.sjsuspartans.com/"
"Santa Clara University","santaclarabroncos.com","http://www.santaclarabroncos.com/"
"Stanford University","Stanford University's Official Athletic Site","http://www.gostanford.com/"
"University of California, Davis","UC Davis Official Athletic Site","http://www.ucdavisaggies.com/"
"University of California, Irvine","UC Irvine","http://www.ucirvinesports.com/"
"University of California, Riverside","UCR Athletics Web Page","http://athletics.ucr.edu/"
"University of California, Santa Barbara","University of California Santa Barbara Athletics","http://www.ucsbgauchos.com/landing/index"
"University of California, Los Angeles","UCLA Athletics - UCLA Official Athletic Site","http://www.uclabruins.com/"
"University of Southern California","University of Southern California Official Athletic Site","http://www.usctrojans.com/"
"United States Air Force Academy","Air Force Academy Official Athletic Site","http://www.goairforcefalcons.com/"
"University of Colorado at Boulder","CUBuffs.com - Official Athletics Web site of the University of Colorado","http://www.cubuffs.com/"
"Colorado State University","Colorado State University Official Athletic Site","http://www.csurams.com/"
"University of Denver","University of Denver Athletics","http://www.denverpioneers.com/"
"University of Northern Colorado","UNCBears.com - Northern Colorado","http://uncbears.com/"
"Central Connecticut State University","CCSU","http://www.ccsubluedevils.com/"
"University of Connecticut","University of Connecticut Official Athletic Site - UConn Huskies","http://www.uconnhuskies.com/"
"Fairfield University","Fairfield University Athletics","http://www.fairfieldstags.com/"
"University of Hartford","University of Hartford Athletics","http://www.hartfordhawks.com/"
"Quinnipiac University","Quinnipiac","http://www.quinnipiacbobcats.com/"
"Sacred Heart University","Sacred Heart University Athletics","http://www.sacredheartpioneers.com/"
"Yale University","Yale University Official Athletic Site - Yale Bulldogs","http://www.yalebulldogs.com/"
"University of Delaware","BlueHens.com - UD Athletics","http://www.bluehens.com/"
"Delaware State University","DSUHornets.com—Official Web site of Delaware State University","http://www.dsuhornets.com/"
"American University","American University Athletics","http://www.aueagles.com/"
"The George Washington University","George Washington University - Official Athletic Site","http://www.gwsports.com/"
"Georgetown University","Georgetown University Official Athletic Site","http://www.guhoyas.com/"
"Howard University","Howard University Athletics","http://www.howard-bison.com/"
"Bethune-Cookman University","Bethune-Cookman - Official Athletic Site","http://www.b-cuathletics.com/"
"Florida International University","FIU Athletics","http://fiusports.com/"
"University of Florida","University of Florida Athletics - GatorZone.com","http://www.gatorzone.com/"
"Florida Agricultural and Mechanical University","Florida Agricultural and Mechanical University 2011","http://www.famu.edu/"
"Florida Atlantic University","FAU | The Official Athletic Site","http://www.fausports.com/"
"Florida Gulf Coast University","FGCUAthletics.com - Official Site of Florida Gulf Coast Athletics","http://www.fgcuathletics.com/"
"Florida State University","Florida State University Official Athletic Site","http://www.seminoles.com/"
"Jacksonville University","JUDolphins.com - Home - Jacksonville University Official Athletic Site","http://www.judolphins.com/"
"University of Miami","HurricaneSports.com - The University of Miami Official Athletic Site","http://hurricanesports.cstv.com/"
"University of North Florida","University of North Florida Athletics","http://www.unfospreys.com/"
